@relation USER28
@attribute a0{﻿246.3,277.4,281.4,260.4,273.3,300.4,297.4,267.4,272.4,275.4,305.3,269.4,324.5,301.4,285.4,269.3,274.3,298.4,336.4,300.3,294.4,273.4,304.4,291.4,341.5,334.4,346.5,374.5,360.5,348.5,331.4,416.6,388.5}
@attribute a1 integer[8,10]
@attribute a2 integer[38,63]
@attribute a3 real[27.9809997349102,962.317410965932]
@attribute a4 real[71.3126911972962,154.567894658755]
@attribute a5 real[0.192213749070506,0.236982673108562]
@attribute a6 integer[8,18]
@attribute a7 real[23.1433664917802,462.236137448997]
@attribute a8 real[48.3853538411341,106.774565737962]
@attribute a9 integer[8,17]
@attribute a10 real[0.0600096015362458,0.111566617862372]
@attribute a11 real[2.93498376627406E-7,1.18978633774829E-6]
@attribute a12 real[1.0,1.02356020942408]
@attribute a13 real[-0.366560712015257,-0.157049459920409]
@attribute a14 real[0.0,0.05390386218394]
@attribute a15 real[0.323298429319372,0.649908031882281]
@attribute a16 real[0.820593525179856,1.01573226544622]
@attribute a17 real[4.3957577868303E-5,1.77008703305797E-4]
@attribute a18 real[2.32134052855827E-5,8.33773189360641E-5]
@attribute a19 real[4.44763271162123,6.84345281638625]
@attribute a20 real[3.12514604391895E-7,1.7210040864226E-6]
@attribute a21 real[-0.700261780104712,-0.350091968117719]
@attribute a22 real[0.635989562151424,0.77263278442528]
@attribute a23 real[-0.179406474820144,0.0]
@attribute a24 real[0.633439287984743,0.842950540079591]
@attribute a25 real[0.976982097186701,1.0094968107725]
@attribute a26 integer[7,61]
@attribute a27 real[-1.0094968107725,-0.94609613781606]
@attribute a28 real[5.02053856686445E-4,7.51445086705202E-4]
@attribute a29 integer[1,24]
@attribute a30 real[0.2348991651162,0.295441676048115]
@attribute a31 real[6169.64913217624,23845.1527962716]
@attribute a32 real[0.509182386775419,0.733377822020477]
@attribute a33 real[1.86602870813397E-4,4.70967741935484E-4]
@attribute a34 real[2.28070175438596E-4,3.65714285714286E-4]
@attribute a35 real[6.45714285714286E-4,8.01169590643275E-4]
@attribute a36 integer[1,2]
@inputs a0, a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25, a26, a27, a28, a29, a30, a31, a32, a33, a34, a35
@outputs a36
@data
﻿246.3,9,53,61.3848660667038,118.043655161999,0.222146764259673,14,49.9135990023762,83.2613925415146,11,0.0690215184734064,6.19821910251998E-7,1.0,-0.223551637279597,0.00642317380352645,0.514984877646412,0.973879571075062,8.31007863285893E-5,3.8065183863612E-5,6.57734470158343,5.36110330419114E-7,-0.485015122353588,0.73200208655592,-0.0261204289249381,0.776448362720403,1.0,19,-0.993576826196474,6.85185185185185E-4,1,0.282797285691532,16412.2298010556,0.694344748579859,2.65432098765432E-4,2.90123456790123E-4,7.71604938271605E-4,1
277.4,9,53,56.2151858975448,114.631980718989,0.214224201351554,13,49.0887693729818,95.2602364697479,13,0.0684931506849315,6.08208450698555E-7,1.0063371356147,-0.233352305065452,0.0280022766078543,0.544993662864385,0.99340937896071,8.02289758931038E-5,3.62560084570998E-5,5.95529920692141,7.2391268662619E-7,-0.461343472750317,0.694915548909515,-0.0129277566539924,0.766647694934548,0.993702770780856,9,-0.971997723392146,6.84019370460049E-4,6,0.287065546024385,14573.6110310022,0.691755921814121,3.14769975786925E-4,2.6634382566586E-4,7.50605326876513E-4,1
281.4,8,50,51.4259909354332,109.758254844915,0.21145698230806,12,51.5140964101006,90.8344683624505,11,0.0643212508884151,4.64033174697227E-7,1.00302480338778,-0.240048396854204,0.0,0.470815243608297,0.934153400868307,7.64681007276024E-5,3.8243274501404E-5,6.28997867803838,5.91144572386567E-7,-0.529184756391703,0.68291774711662,-0.0658465991316932,0.762976406533575,1.00302480338778,26,-1.00302480338778,7.00564971751412E-4,4,0.265178768656144,14367.8866382374,0.676626879970419,1.9774011299435E-4,3.33333333333333E-4,6.89265536723164E-4,1
260.4,9,57,48.3710684902828,98.311830274251,0.216422222495563,13,39.987587131317,78.4919768405996,13,0.0733486943164363,6.59869555308797E-7,1.0,-0.223667820069204,0.00802768166089965,0.491709703723838,0.969556944821963,8.82008300687962E-5,4.49122289028514E-5,6.72043010752688,7.01414151656142E-7,-0.508290296276162,0.744698491237743,-0.0304430551780375,0.776332179930796,1.0,26,-0.9919723183391,7.02857142857143E-4,5,0.277934860103609,15528.175499232,0.60818015957302,2.0E-4,2.62857142857143E-4,7.6E-4,1
273.3,9,52,49.1292824946142,97.3198612956819,0.231114496565225,11,38.8783828250477,91.2705304982136,13,0.084156604463959,5.69204856669226E-7,1.00950782997763,-0.31006711409396,0.00878584502745577,0.453299776286353,0.909395973154362,9.10186947219687E-5,4.00948734528746E-5,6.66300768386389,6.11193622912044E-7,-0.556208053691275,0.686031558120184,-0.100111856823266,0.68993288590604,0.990581717451524,18,-0.991214154972544,7.30367929708951E-4,9,0.265939664387293,14796.6648371753,0.651179951508452,2.25151015925316E-4,2.30642504118616E-4,7.74299835255354E-4,1
300.4,10,53,59.6756892302724,114.598044612721,0.224375590390051,14,43.3222405405697,74.587881439201,12,0.0669107856191744,7.99155319176537E-7,1.0,-0.176367942166272,0.00423781627820017,0.588994399805211,0.923788653518383,8.49824918668519E-5,4.35028161656688E-5,5.79227696404794,4.98975087346544E-7,-0.411005600194789,0.737654407446556,-0.0762113464816167,0.823632057833728,1.0,10,-0.9957621837218,6.95402298850575E-4,5,0.291520044435361,13463.0559254328,0.617061414755809,3.16091954022989E-4,2.58620689655172E-4,7.81609195402299E-4,1
297.4,9,52,54.8451471540192,123.36740301704,0.217806258154825,15,45.8301336561035,80.5582703348354,11,0.0605245460659045,6.12757452608103E-7,1.0,-0.185842985842986,0.0196911196911197,0.557623049219688,0.951780712284914,7.34033897610091E-5,4.72162344949194E-5,6.29119031607263,5.52344746012938E-7,-0.442376950780312,0.739146785213562,-0.048219287715086,0.814157014157014,1.0,24,-0.98030888030888,6.19989310529129E-4,3,0.29070392044234,13600.362138534,0.61190380520277,3.04649919828969E-4,3.09994655264564E-4,7.26884019241048E-4,1
267.4,9,55,44.7414985791469,105.994413587967,0.232118458855679,16,44.9465550983861,74.8226893469763,11,0.0714285714285714,6.13256846144322E-7,1.0,-0.213536568312124,1.3984058173682E-4,0.465220643231114,0.969334330590875,8.53147145720598E-5,4.78530723183515E-5,6.73148840688108,5.01608502123324E-7,-0.534779356768886,0.755350449615801,-0.0306656694091249,0.786463431687876,1.0,30,-0.999860159418263,6.27777777777778E-4,5,0.272109450616498,15127.6522064323,0.591751864094089,2.55555555555556E-4,2.77777777777778E-4,7.44444444444444E-4,1
272.4,9,55,49.0359023167866,107.894309191794,0.232324281988254,13,38.7659355180564,76.3497105087034,13,0.0624082232011747,5.82134010425988E-7,1.0,-0.189239562624254,0.00173956262425447,0.553149606299213,0.952509842519685,8.30689762781151E-5,4.19473558143961E-5,6.61160058737151,6.66307441663259E-7,-0.446850393700787,0.722215243204497,-0.047490157480315,0.810760437375746,1.0,12,-0.998260437375746,7.27373681288173E-4,10,0.292151086069418,14851.4933920705,0.665593139239575,2.5541365907829E-4,2.49861188228762E-4,7.44031093836757E-4,1
275.4,9,52,49.384829160277,107.28058413207,0.235164888646063,13,48.5440029598248,81.8330079382341,11,0.0689905591866376,5.1845322455277E-7,1.0,-0.234603750756201,0.0417422867513612,0.4446227929374,0.976993044408775,9.42817868597284E-5,4.26406919881022E-5,6.83732752360203,6.78121790085326E-7,-0.5553772070626,0.712675086172424,-0.0230069555912253,0.765396249243799,1.0,24,-0.958257713248639,6.74455655868295E-4,8,0.279359830685742,14691.1851851852,0.6757974817347,2.4429102496017E-4,2.70844397238449E-4,7.3287307488051E-4,1
